##########normalizacion_palabras##########
alcalinizantes                          alcalinizantes                          AQ0CP0   I  # alcalinizantes
aldolasa                                aldolasa                                NCFS000  I  # aldolasa
alemtuzumab                             alemtuzumab                             NCCS000  I  # alemtuzumab
alendronato                             alendronato                             NCMS000  I  # alendronato
alendronica                             alendrónico                             AQ0FS0   I  # alendronica
alendrónica                             alendrónico                             AQ0FS0   I  # alendrónica
alendronicas                            alendrónico                             AQ0FP0   I  # alendronicas
alendrónicas                            alendrónico                             AQ0FP0   I  # alendrónicas
alendronico                             alendrónico                             AQ0MS0   I  # alendronico
alendrónico                             alendrónico                             AQ0MS0   I  # alendrónico
alendronicos                            alendrónico                             AQ0MP0   I  # alendronicos
alendrónicos                            alendrónico                             AQ0MP0   I  # alendrónicos
alfaadrenergica                         alfaadrenérgico                         AQ0FS0   I  # alfaadrenergica
alfaadrenérgica                         alfaadrenérgico                         AQ0FS0   I  # alfaadrenérgica
alfaadrenergicas                        alfaadrenérgico                         AQ0FP0   I  # alfaadrenergicas
alfaadrenérgicas                        alfaadrenérgico                         AQ0FP0   I  # alfaadrenérgicas
alfaadrenergico                         alfaadrenérgico                         AQ0MS0   I  # alfaadrenergico
alfaadrenérgico                         alfaadrenérgico                         AQ0MS0   I  # alfaadrenérgico
alfaadrenergicos                        alfaadrenérgico                         AQ0MP0   I  # alfaadrenergicos
alfaadrenérgicos                        alfaadrenérgico                         AQ0MP0   I  # alfaadrenérgicos
alfa-bloqueante                         alfa-bloqueante                         AQ0CS0   I  # alfa-bloqueante
alfabloqueante                          alfabloqueante                          AQ0CS0   I  # alfabloqueante 
alfa-bloqueantes                        alfa-bloqueante                         AQ0CS0   I  # alfa-bloqueantes
alfabloqueantes                         alfabloqueantes                         AQ0CP0   I  # alfabloqueantes
alfacalcidiol                           alfacalcidol                            NCMS000  I  # alfacalcidiol
alfacalcidol                            alfacalcidol                            NCMS000  I  # alfacalcidol
alfa-feto                               alfa-feto                               NCMS000  I  # alfa-feto
alfa-feto-proteina                      alfafetoproteína                        NCFS000  I  # alfa-feto-proteina
alfa-fetoproteina                       alfafetoproteína                        NCFS000  I  # alfa-fetoproteina
alfafetoproteina                        alfafetoproteína                        NCFS000  I  # alfafetoproteina
alfa-feto-proteína                      alfafetoproteína                        NCFS000  I  # alfa-feto-proteína
alfa-fetoproteína                       alfafetoproteína                        NCFS000  I  # alfa-fetoproteína
alfafetoproteína                        alfafetoproteína                        NCFS000  I  # alfafetoproteína
alfafetoproteinas                       alfafetoproteína                        NCFP000  I  # alfafetoproteinas
alfa-feto-proteínas                     alfafetoproteína                        NCFP000  I  # alfa-feto-proteínas
alfa-fetoproteinas                      alfafetoproteínas                       NCFP000  I  # alfa-fetoproteina
alfa-feto-proteinas                     alfafetoproteínas                       NCFP000  I  # alfa-feto-proteínas
alfa-fetoproteínas                      alfafetoproteínas                       NCFP000  I  # alfa-fetoproteínas
algica                                  álgico                                  AQ0FS0   I  # algica
álgica                                  álgico                                  AQ0FS0   I  # álgica
algicas                                 álgico                                  AQ0FP0   I  # algicas
álgicas                                 álgico                                  AQ0FP0   I  # álgicas
algico                                  álgico                                  AQ0MS0   I  # algico
álgico                                  álgico                                  AQ0MS0   I  # álgico
algicos                                 álgico                                  AQ0MP0   I  # algicos
álgicos                                 álgico                                  AQ0MP0   I  # álgicos
algologica                              algológico                              AQ0FS0   I  # algologica
algológica                              algológico                              AQ0FS0   I  # algológica
algologicas                             algológico                              AQ0FP0   I  # algologicas
algológicas                             algológico                              AQ0FP0   I  # algológicas
algologico                              algológico                              AQ0MS0   I  # algologico
algológico                              algológico                              AQ0MS0   I  # algológico
algologicos                             algológico                              AQ0MP0   I  # algologicos
algológicos                             algológico                              AQ0MP0   I  # algológicos
alimenticio-biliosa                     alimenticio-bilioso                     AQ0FS0   I  # alimenticio-biliosa
alimenticio-biliosas                    alimenticio-bilioso                     AQ0FP0   I  # alimenticio-biliosas
alimenticio-bilioso                     alimenticio-bilioso                     AQ0MS0   I  # alimenticio-bilioso
alimenticio-biliosos                    alimenticio-bilioso                     AQ0MP0   I  # alimenticio-biliosos
alitiasica                              alitiásico                              AQ0FS0   I  # alitiasica
alitiásica                              alitiásico                              AQ0FS0   I  # alitiásica
alitiasicas                             alitiásico                              AQ0FP0   I  # alitiasicas 
alitiásicas                             alitiásico                              AQ0FP0   I  # alitiásicas 
alitiasico                              alitiásico                              AQ0MS0   I  # alitiasico
alitiásico                              alitiásico                              AQ0MS0   I  # alitiásico
alitiasicos                             alitiásico                              AQ0MP0   I  # alitiasicos
alitiásicos                             alitiásico                              AQ0MP0   I  # alitiásicos
alk-protein                             alk-protein                             NCCS000  I  # alk-protein
almagato                                almagato                                NCMS000  I  # almagato
alodinia                                alodinia                                NCFS000  I  # alodinia
alongada                                alongar                                 VMP00SF  I  # alongada
alongadas                               alongar                                 VMP00PF  I  # alongadas
alongado                                alongar                                 VMP00SM  I  # alongado
alongados                               alongar                                 VMP00PM  I  # alongados
aloplastica                             aloplástico                             AQ0FS0   I  # aloplastica
